 Extraction du patron NOM+ADJ 

mobilisations algériennes
partis eurosceptiques
partis souverainistes
d’extrême droite
scores historiques
nom d’un
forces spéciales
marché bio
élections européennes
géographie électorale
politique générale
calendrier politique
chantiers législatifs
Commission européenne
chefs d’Etat
quartiers historiques
équipes anglaises
stades …
quartiers historiques
Bulletin officiel
l’école maternelle
L’écriture inclusive
causes qu’ils
djihadistes français
virus informatique
serveur central
chantage d’un
mortalité routière
Sécurité routière
travailleuses indépendantes
fraude fiscale
prison ferme
L’enquête préliminaire
trop-plein démocrate
l’investiture présidentielle
candidats démocrates
culture geek
sitcom américaine
golfe Arabo-Persique
course présidentielle
corruption lorsqu’elle
ministère public
choc climatique
territoires vulnérables
élections européennes
bâtiments publics
conseils départementaux
routes secondaires
zone rurale
délire total
fièvre hémorragique
guerre commerciale
tensions commerciales
groupe chinois
qu’il suspecte
marché américain
télévision turque
conférence Ouest
fans turcs
infirmier accusé
gravité particulière
parquet d’Oldenbourg
l’impossibilité d’être
pages politiques
entreprise israélienne
services secrets
justice française
information judiciaire
Prise illégale
maire extrême
élections municipales
dirigeants européens
président français
chancelière allemande
sentiment européen
participation électorale
l’Union européenne
élections municipales
texte commun
grève générale
tension croissante
société civile
L’agence sanitaire
perturbateur endocrinien
éléphants d’Afrique
Elections municipales
